Date,Open,High,Low,Close,Adj Close,Volume
10/10/2016,"5,325.00","5,350.00","5,275.00","5,300.00","4,550.69",10.65
10/11/2016,"5,300.00","5,350.00","5,150.00","5,200.00","4,464.83",25.48
10/12/2016,"5,175.00","5,200.00","5,150.00","5,175.00","4,443.37",20.31
10/13/2016,"5,200.00","5,425.00","5,150.00","5,375.00","4,615.09",75.76
10/14/2016,"5,425.00","5,500.00","5,350.00","5,475.00","4,700.95",35.60
10/17/2016,"5,450.00","5,550.00","5,425.00","5,500.00","4,722.42",24.39
10/18/2016,"5,475.00","5,525.00","5,375.00","5,400.00","4,636.55",32.24
10/19/2016,"5,425.00","5,450.00","5,375.00","5,400.00","4,636.55",19.37
10/20/2016,"5,450.00","5,500.00","5,425.00","5,450.00","4,679.49",14.01
10/21/2016,"5,425.00","5,475.00","5,425.00","5,425.00","4,658.02",8.49
10/24/2016,"5,425.00","5,500.00","5,425.00","5,450.00","4,679.49",6.45
10/25/2016,"5,450.00","5,500.00","5,400.00","5,475.00","4,700.95",13.46
10/26/2016,"5,475.00","5,500.00","5,425.00","5,450.00","4,679.49",19.85
10/27/2016,"5,475.00","5,525.00","5,400.00","5,525.00","4,743.88",18.36
10/28/2016,"5,525.00","5,550.00","5,500.00","5,525.00","4,743.88",12.60
10/31/2016,"5,550.00","5,600.00","5,525.00","5,575.00","4,786.81",13.68
11/1/2016,"5,600.00","5,600.00","5,500.00","5,525.00","4,743.88",8.44
11/2/2016,"5,525.00","5,525.00","5,425.00","5,525.00","4,743.88",10.43
11/3/2016,"5,475.00","5,525.00","5,450.00","5,475.00","4,700.95",14.27
11/4/2016,"5,400.00","5,625.00","5,400.00","5,600.00","4,808.28",20.03
11/7/2016,"5,550.00","5,650.00","5,500.00","5,575.00","4,786.81",21.13
11/8/2016,"5,625.00","5,725.00","5,575.00","5,725.00","4,915.61",25.39
11/9/2016,"5,700.00","5,700.00","5,400.00","5,575.00","4,786.81",40.12
11/10/2016,"5,625.00","5,650.00","5,550.00","5,575.00","4,786.81",19.67
11/11/2016,"5,450.00","5,450.00","5,025.00","5,150.00","4,421.90",73.67
11/14/2016,"5,050.00","5,250.00","4,810.00","5,125.00","4,400.43",38.60
11/15/2016,"5,125.00","5,250.00","5,000.00","5,000.00","4,293.11",47.33
11/16/2016,"5,075.00","5,325.00","5,075.00","5,225.00","4,486.30",42.75
11/17/2016,"5,225.00","5,325.00","5,200.00","5,225.00","4,486.30",23.88
11/18/2016,"5,300.00","5,300.00","5,200.00","5,225.00","4,486.30",13.81
11/21/2016,"5,300.00","5,300.00","5,200.00","5,200.00","4,464.83",23.03
11/22/2016,"5,200.00","5,250.00","5,150.00","5,250.00","4,507.76",14.51
11/23/2016,"5,200.00","5,225.00","5,100.00","5,125.00","4,400.43",33.73
11/24/2016,"5,100.00","5,175.00","5,000.00","5,000.00","4,293.11",28.69
11/25/2016,"5,000.00","5,150.00","5,000.00","5,025.00","4,314.57",10.26
11/28/2016,"5,025.00","5,100.00","5,025.00","5,075.00","4,357.50",7.86
11/29/2016,"5,075.00","5,200.00","5,075.00","5,100.00","4,378.97",10.76
11/30/2016,"5,150.00","5,275.00","5,125.00","5,175.00","4,443.37",26.16
12/1/2016,"5,200.00","5,300.00","5,200.00","5,275.00","4,529.23",20.27
12/2/2016,"5,300.00","5,350.00","5,250.00","5,300.00","4,550.69",10.15
12/5/2016,"5,275.00","5,375.00","5,275.00","5,325.00","4,572.16",13.52
12/6/2016,"5,400.00","5,400.00","5,325.00","5,375.00","4,615.09",15.42
12/7/2016,"5,350.00","5,425.00","5,325.00","5,350.00","4,593.62",9.97
12/8/2016,"5,375.00","5,425.00","5,350.00","5,425.00","4,658.02",12.39
12/9/2016,"5,500.00","5,525.00","5,400.00","5,475.00","4,700.95",5.44
12/13/2016,"5,400.00","5,525.00","5,400.00","5,475.00","4,700.95",21.18
12/14/2016,"5,550.00","5,550.00","5,450.00","5,475.00","4,700.95",10.63
12/15/2016,"5,400.00","5,475.00","5,350.00","5,400.00","4,636.55",12.41
12/16/2016,"5,500.00","5,500.00","5,350.00","5,350.00","4,593.62",20.73
12/19/2016,"5,425.00","5,500.00","5,375.00","5,425.00","4,658.02",16.24
12/20/2016,"5,500.00","5,500.00","5,350.00","5,400.00","4,636.55",8.61
12/21/2016,"5,450.00","5,475.00","5,350.00","5,350.00","4,593.62",16.05
12/22/2016,"5,425.00","5,450.00","5,275.00","5,300.00","4,550.69",8.04
12/23/2016,"5,275.00","5,400.00","5,225.00","5,250.00","4,507.76",9.15
12/27/2016,"5,200.00","5,300.00","5,200.00","5,250.00","4,507.76",3.93
12/28/2016,"5,250.00","5,450.00","5,250.00","5,375.00","4,615.09",13.78
12/29/2016,"5,375.00","5,525.00","5,375.00","5,475.00","4,700.95",19.41
12/30/2016,"5,500.00","5,650.00","5,450.00","5,525.00","4,743.88",28.43
1/2/2017,"5,525.00","5,525.00","5,525.00","5,525.00","4,743.88",0.00
1/3/2017,"5,525.00","5,525.00","5,450.00","5,475.00","4,700.95",6.71
1/4/2017,"5,500.00","5,600.00","5,475.00","5,600.00","4,808.28",21.41
